Date,Description,Amount,Type
2026-08-01,Salary,75000,Credit
2026-08-02,Swiggy,450,Debit
2026-08-03,Amazon,2500,Debit
2026-08-04,Uber,320,Debit
2026-08-05,Netflix,649,Debit
2026-08-06,Reliance Fresh,1800,Debit
2026-08-07,Electricity Bill,2500,Debit
2026-08-08,Swiggy,650,Debit
2026-08-10,Amazon,1200,Debit
2026-08-11,Uber,450,Debit
2026-08-12,Zomato,550,Debit
2026-08-14,Netflix,649,Debit
2026-08-15,Shopping Mall,3500,Debit
2026-08-17,Swiggy,750,Debit
2026-08-20,Uber,380,Debit
2026-08-22,Reliance Fresh,2200,Debit
2026-08-25,Amazon,2800,Debit
